ACTOR_DEBUG | 2020-04-26 19:46:25 | [Thread-2] actor.Actor (Actor.java:168) - Client roll-calling port 4002 has closed.
ACTOR_DEBUG | 2020-04-26 19:46:25 | [Thread-5] actor.Actor (Actor.java:183) - Initializing server for [Lexa]...
ACTOR_DEBUG | 2020-04-26 19:46:25 | [Thread-5] actor.Actor (Actor.java:204) - Server for [Lexa] bound to port 4000.
ACTOR_DEBUG | 2020-04-26 19:46:25 | [main] actor.Actor (Actor.java:111) - Successfully instantiated [Lexa].
ACTOR_ERROR | 2020-04-26 19:46:25 | [main] actor.Actor (Actor.java:217) - Worker group for [Lexa] failed to shut down.
ACTOR_ERROR | 2020-04-26 19:46:25 | [main] actor.Actor (Actor.java:223) - Boss group for [Lexa] failed to shut down.
ACTOR_ERROR | 2020-04-26 19:46:25 | [main] actor.Actor (Actor.java:236) - Client group for [Lexa] failed to shut down.
ACTOR_DEBUG | 2020-04-26 19:46:25 | [main] actor.Actor (Actor.java:247) - Exit actor [Lexa].
ACTOR_DEBUG | 2020-04-26 19:47:23 | [main] actor.Actor (Actor.java:86) - Instantiating actor [Lexa] on port [4000]...
ACTOR_DEBUG | 2020-04-26 19:47:23 | [Thread-3] actor.Actor (Actor.java:146) - Initializing a client for [Lexa] to roll-call port 4003...
ACTOR_DEBUG | 2020-04-26 19:47:23 | [Thread-1] actor.Actor (Actor.java:146) - Initializing a client for [Lexa] to roll-call port 4001...
ACTOR_DEBUG | 2020-04-26 19:47:23 | [Thread-2] actor.Actor (Actor.java:146) - Initializing a client for [Lexa] to roll-call port 4002...
ACTOR_DEBUG | 2020-04-26 19:47:23 | [Thread-1] actor.Actor (Actor.java:163) - Bootstrap 215787396 configured.
ACTOR_DEBUG | 2020-04-26 19:47:23 | [Thread-2] actor.Actor (Actor.java:163) - Bootstrap 759328748 configured.
ACTOR_DEBUG | 2020-04-26 19:47:23 | [Thread-3] actor.Actor (Actor.java:163) - Bootstrap 1159274935 configured.
ACTOR_DEBUG | 2020-04-26 19:47:23 | [Thread-1] actor.Actor (Actor.java:165) - Roll-calling port 4001...
ACTOR_DEBUG | 2020-04-26 19:47:23 | [Thread-2] actor.Actor (Actor.java:165) - Roll-calling port 4002...
ACTOR_DEBUG | 2020-04-26 19:47:23 | [Thread-3] actor.Actor (Actor.java:165) - Roll-calling port 4003...
ACTOR_DEBUG | 2020-04-26 19:47:23 | [nioEventLoopGroup-2-1] actor.Actor$ClientHandler (Actor.java:410) - A new client handler has been instantiated by [Lexa].
ACTOR_DEBUG | 2020-04-26 19:47:23 | [nioEventLoopGroup-2-3] actor.Actor$ClientHandler (Actor.java:410) - A new client handler has been instantiated by [Lexa].
ACTOR_DEBUG | 2020-04-26 19:47:23 | [nioEventLoopGroup-2-2] actor.Actor$ClientHandler (Actor.java:410) - A new client handler has been instantiated by [Lexa].
ACTOR_DEBUG | 2020-04-26 19:47:23 | [nioEventLoopGroup-2-3] actor.Actor$1 (Actor.java:160) - Pipeline from [Lexa] to port 4003 initialized.
ACTOR_DEBUG | 2020-04-26 19:47:23 | [nioEventLoopGroup-2-2] actor.Actor$1 (Actor.java:160) - Pipeline from [Lexa] to port 4002 initialized.
ACTOR_DEBUG | 2020-04-26 19:47:23 | [nioEventLoopGroup-2-1] actor.Actor$1 (Actor.java:160) - Pipeline from [Lexa] to port 4001 initialized.
